GCF_013348135.1,Caudovirales,Podoviridae,Salasvirus,Bacillus phage Gxv1
GCF_009932005.1,Caudovirales,Podoviridae,Salasvirus,Bacillus virus SRT01hs
GCF_006869665.1,Caudovirales,Podoviridae,Salasvirus,Bacillus phage Karezi
GCF_002627245.1,Caudovirales,Podoviridae,Salasvirus,Bacillus phage vB_BveP-Goe6
GCF_002755075.1,Caudovirales,Podoviridae,Salasvirus,Bacillus virus phi29
GCF_008214525.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage Sin4
GCF_008214585.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage Sweeny
GCF_007998375.1,Caudovirales,Drexlerviridae,Hanrivervirus,Escherichia phage Henu8
GCF_010120255.1,Caudovirales,Drexlerviridae,Hanrivervirus,Escherichia phage egaa
GCF_005394215.1,Caudovirales,Myoviridae,Mieseafarmvirus,Burkholderia phage BcepSauron
GCF_004771375.1,Caudovirales,Myoviridae,Mieseafarmvirus,Burkholderia phage BcepSaruman
GCF_006964305.1,Caudovirales,Myoviridae,Mieseafarmvirus,Achromobacter phage Motura
GCF_009859595.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage KP1801
GCF_008214665.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage Shelby
GCF_009861365.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage PhiKpNIH-2
GCF_009667565.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage 13
GCF_009800765.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage vB_KpnS_15-38_KLPPOU149
GCF_008214625.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage Skenny
GCF_005145105.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage vB_KpnS_FZ10
GCF_009217465.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage KL
GCF_008221375.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage vB_KpnS_Alina
GCF_008221175.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage vB_KpnS_Call
GCF_008220985.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage vB_KpnS_Domnhall
GCF_008221045.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage vB_KpnS_IMGroot
GCF_008221245.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage vB_KpnS_SegesCirculi
GCF_009856795.1,Caudovirales,Drexlerviridae,Tunavirus,Escherichia phage vB_EcoS-DELF2
GCF_009662975.1,Caudovirales,Drexlerviridae,Tunavirus,Shigella virus Sfin-3
GCF_013343685.1,Caudovirales,Drexlerviridae,Hanrivervirus,Escherichia phage PGN590
GCF_010120085.1,Caudovirales,Drexlerviridae,Hanrivervirus,Escherichia phage aalborv
